"group","V1","V2"
"I",NA,16.6763302777
"H",25.8551275976,17.0819086886
"A",93.3333,39.8718
"M",66.7241920702,NA
"J",61.2797865792,65.766402504
"F",38.4040152085,14.4519484496
"C",52.8019793617,90.0880645063
"L",62.2926421901,40.0295333141
"K",60.7493891909,28.0517363383
"E",71.8266529973,65.6862303604
"H",75.2964750909,17.0156531888
"I",45.0289975331,17.7244473049
"A",70.7692,91.0256
"B",39.505789079,74.8516272173
"J",24.6355399754,71.6107148256
"A",36.6667,45.641
"I",57.0758924193,79.1939225382
"A",NA,60.2564
"F",70.5958928563,41.9647438672
"I",65.8072190346,18.1407649473
"L",NA,23.4913735562
"A",28.9744,74.4872
"J",68.995028632,13.9943105293
"A",29.7436,36.0256
"G",78.4646034437,69.7493008209
"C",53.366566866,90.2080300059
"K",24.6308301331,53.3957388998
"D",NA,21.8509008151
"H",NA,51.7467300374
"M",64.3256315887,41.6159763773
"I",50.4922475132,78.997532065
"H",77.6820163247,51.1656378096
"A",39.4872,25.3846
"M",64.320383794,31.7856294846
"H",75.4005271583,17.0411068868
"E",NA,53.8779658045
"D",50.2797016367,15.608737571
"I",42.1422682922,76.8806345544
"K",NA,59.7533088802
"H",52.6356576791,51.4185522584
"H",50.288527801,82.9752535659
"E",38.3377571839,92.472719051
"F",31.7086628996,58.837754374
"A",61.2821,62.1795
"M",64.2977371716,20.4287496884
"I",57.1409359294,16.5986105437
"K",44.6099759113,93.075835032
"M",67.5445276811,16.4479381344
"H",49.9283802752,82.9936654888
"B",38.6644611569,33.3172384774
"K",27.8877193574,75.4455759934
"L",71.8870772602,NA
"K",68.4127671225,19.9131265443
"H",51.2638712274,17.1623497098
"A",46.1538,6.0256
"H",75.4793396586,82.8840513891
"G",58.1187658587,73.1189614684
"H",27.6784029741,51.1819891691
"D",50.1867033389,99.6946801425
"D",50.2530067222,11.3020842468
"M",62.4256973267,34.0442062707
"M",73.0273050243,NA
"L",60.375744968,41.3564579961
"E",71.5691888532,34.699218607
"B",38.3020058088,60.0177857932
"K",41.5303978512,13.3962907452
"K",71.5450389858,72.657716331
"D",50.4102716314,98.6283694405
"L",NA,51.6462354868
"H",77.9260443352,50.3186604237
"M",33.6744421497,26.09049021
"A",29.7436,62.1795
"J",62.5602588694,30.4471356661
"C",22.0037091415,50.4994401238
"I",45.0102700721,77.8808631153
"G",50.157414434,NA
"A",NA,42.1795
"H",52.7977329399,50.6860370901
"B",52.4944067819,16.0511142003
"A",67.9487,22.1795
"F",38.7642788913,14.3655904744
"C",46.2381175975,30.4956129408
"D",50.4189791992,60.5249117346
"E",39.7556490651,79.6570966361
"E",52.9451780881,40.3846256942
"L",20.9319996761,NA
"E",31.1068665551,89.4616352367
"K",37.7914323802,66.8546410275
"A",47.1795,28.718
"K",74.1867734997,74.3442041467
"J",38.5021996714,41.5671556174
"F",27.0246032407,62.9018588649
"M",69.048716493,66.3660457477
"F",56.6639740815,NA
"G",65.3064624975,18.1973548277
"F",49.4711054118,25.0630193062
"E",42.3462616039,24.5583269437
"J",83.2939057345,70.7784317876
"G",NA,70.0440572588
"J",29.5575433634,21.3647774591
"B",82.1105579783,1.21055166293
"D",50.3373626448,40.913386144
"A",61.2821,19.1026
"K",58.4163840114,5.64577748328
"G",NA,75.0980490792
"I",31.7606691716,NA
"E",81.6437056853,16.5917599845
"M",67.5017806138,60.8502274659
"M",72.4798343312,80.8006830564
"L",67.2313347767,85.055640808
"B",74.8850211598,25.4166063231
"M",38.4028368753,NA
"E",61.9080397046,53.1903520694
"J",75.1307160373,79.9840931403
"B",34.1188302357,NA
"J",NA,11.3189448865
"J",59.8399667124,64.4767644437
"J",54.3797219484,84.2403555494
"I",25.5860552415,60.8465833585
"E",80.3124913784,76.5162389518
"I",77.2045893204,69.3121497658
"K",36.1634664356,33.819314199
"K",65.5834276962,93.5170609365
"B",66.4549036599,19.8366286542
"L",NA,68.2252589114
"D",50.489902373,39.2054119682
"L",69.9194262552,29.3110927191
"L",24.150491069,47.1885335266
"I",41.0269715735,76.4095884613
"D",50.1040315041,95.0885380179
"L",31.4970254888,67.9125621568
"I",39.9213628084,19.7018495281
"J",91.7355387598,48.9702108877
"F",77.6346517616,14.461853927
"J",39.0555497751,55.5469737131
"D",30.4549558873,63.5017787814
"E",NA,13.3921347304
"D",30.500998079,48.0696996767
"G",51.3478832298,27.3642602259
"L",26.1604969417,23.0422314726
"D",30.5047730174,26.4166256707
"J",49.1917219555,85.8762291224
"K",NA,10.6326415569
"C",59.8525770283,10.5431877763
"L",76.7756112073,55.2545987009
"K",20.2097781637,67.5166420988
"I",NA,78.6665589963
"A",68.4615,94.1026
"B",NA,80.0656402858
"E",76.1056290282,95.3049805754
"D",89.5048511306,NA
"L",62.307750573,5.74997471945
"D",30.4980777147,62.3849850338
"I",31.7606691716,69.7976553936
"E",70.4722626065,36.0880530553
"I",26.3143100672,33.2971681038
"A",63.0769,19.1026
"I",45.6174391854,78.1199702277
"D",69.5291826079,57.8412666804
"B",NA,14.2745856444
"G",60.8065608049,27.8683134861
"A",42.8205,32.5641
"A",56.6667,40.641
"G",37.3099483549,72.5861552003
"K",21.0379688969,49.829299645
"B",56.5841530218,70.512514809
"D",69.5190952617,11.4226857018
"L",76.7756112073,NA
"L",59.3150555205,12.3543136666
"M",NA,67.7255886599
"M",77.9158742329,45.9268433826
"H",50.7851572052,17.1801964842
"A",68.2051,2.9487
"I",60.6739209233,17.0518023644
"J",63.1490490834,83.9468553485
"F",58.3821244904,90.5534760692
"J",48.1799307865,85.0451167372
"F",64.4007871926,67.4487184472
"K",33.9806339675,35.0330581489
"D",50.3112993746,26.8604882737
"E",33.7296067755,88.622265789
"B",71.7683189223,20.0110618423
"F",79.3260781751,52.9003912897
"G",52.8112216438,17.8549881176
"E",64.8520398267,43.1337348404
"E",37.1030736419,15.4456116477
"A",59.2308,44.4872
"M",77.067111934,51.4869181896
"A",26.1538,71.4103
"J",72.4709525633,51.1221348241
"C",52.4189219215,10.4959063596
"G",59.7665303129,32.6212516009
"D",69.5618994268,15.9998037858
"B",44.5902125769,22.0340116412
"D",50.4672293846,90.281464505
"G",NA,83.4373907092
"F",77.4133752817,15.2219279762
"I",58.5721354669,16.642703808
"A",56.1538,14.1026
"I",26.3207111933,62.3962811186
"L",39.7958978066,28.4432191156
"C",75.4772220231,10.5185680355
"K",63.9863468858,32.7134316129
"B",52.0334562787,NA
"E",84.6102197758,14.2477619017
"B",70.2425464362,NA
"K",54.855664646,83.7833976656
"F",58.4618385916,90.2653263904
"B",64.9374355444,81.5542049945
"E",77.7815467962,23.4472144745
"I",68.7456312971,75.7900554548
"F",41.4701423265,17.2780334445
"A",67.9487,8.718
"L",45.4203820755,5.37240899542
"F",77.5437200743,15.253949149
"I",84.6267242006,39.4870775084
"C",56.7721495656,10.5032723508
"B",53.2591294055,97.4757710964
"J",68.4530459999,13.0355285908
"F",29.4226860665,63.0684648229
"G",49.3104686263,67.1687603206
"A",73.8462,83.3333
"I",42.8790365154,18.4894110252
"D",69.5001114942,NA
"G",92.2484016622,NA
"G",64.2491606461,14.9139624607
"M",65.4155283864,10.4635122068
"H",52.2633473764,94.2493278274
"K",57.8328062743,9.22238462333
"J",91.1910536059,46.6743428399
"B",61.8564651063,71.7927431642
"F",28.087273053,63.1232828116
"M",74.0784292286,72.9515308522
"M",36.9463314417,13.5143774996
"M",NA,10.4635122068
"J",NA,82.4309187567
"J",20.9594648125,66.0414983826
"C",22.8171074784,30.4360403387
"F",63.0559909076,29.7090956748
"M",39.002716451,92.26183816
"D",50.4682212165,13.3567024555
"D",49.9341271714,22.2561397401
"K",50.198958949,52.2250295948
"B",58.9124603193,75.6677562173
"I",63.0902251412,78.041409495
"K",92.5487933153,42.9019079116
"F",27.7799191139,63.518147517
"K",NA,67.5166420988
"C",57.9026866088,89.6184017294
"J",70.6449962629,82.4309187567
"F",55.0745059041,79.8175464166
"J",37.3293552552,39.6020423074
"M",75.6272550236,37.128751949
"I",73.5074477338,22.8569887644
"H",50.4880136436,83.0995191232
"H",50.8914922458,17.1413237277
"G",64.6170985343,22.4431455531
"L",61.7372710245,38.5848440052
"A",49.4872,42.1795
"B",42.7817612539,NA
"D",69.5050706711,33.7401525035
"I",64.0208416469,17.8835812521
"I",73.3961549252,22.8162479426
"F",39.3118718889,15.6407169743
"L",44.0774051326,84.1258533023
"B",42.0633045627,2.33519661206
"M",34.5838289299,NA
"A",44.1026,92.6923
"F",77.5847398447,NA
"K",46.7145179915,15.6132744651
"B",43.9498645857,75.9587156671
"A",56.6667,56.0256
"K",53.5299526734,24.2419155845
"J",NA,84.2605679876
"A",46.6667,54.1026
"I",26.1633874648,62.0268148985
"J",41.6832004024,84.0179406019
"K",51.8868880222,80.1136076892
"G",72.2725228706,67.6444437851
"F",79.4886844186,53.6516742641
"D",69.5202566002,97.1938760167
"G",54.1145317806,17.6735343896
"C",34.800701463,30.4979313851
"C",NA,89.5926540118
"J",55.3651603364,30.4458502777
"G",45.8596693166,17.1289036754
"A",41.0256,25.2564
"H",50.7046843629,17.0237445436
"D",30.4768299051,39.4246055913
"G",70.8633308324,79.4081747457
"A",40.2564,51.4103
"C",51.6803004439,89.9970275485
"B",40.6350418091,73.3947503698
"A",29.7436,59.8718
"G",61.4146337175,31.0393750583
"J",35.3496806211,47.1410731332
"H",51.8356372562,52.3357655339
"B",32.3311102266,61.411101248
"B",39.0896145478,70.4661940802
"E",73.2420023309,67.3532711288
"L",50.2244178157,19.1709698793
"J",66.1730182606,12.0379170217
"L",46.9882833458,55.4206367313
"H",51.7372816586,92.9791175339
"L",25.9525965456,73.0331803541
"L",59.2364904011,91.4811005766
"M",65.264338195,35.7175447772
"I",28.972835724,29.0504689185
"H",52.8843132864,50.4414354501
"C",67.9680481127,50.4521589097
"C",77.621049129,10.4958742318
"M",63.9100640599,NA
"J",58.6367650809,11.9747210652
